destinationA	destinationB	distance
Vatican City	Stonehenge, Amesbury, United Kingdom	2001170
Vatican City	London, United Kingdom	1877715
Vatican City	Brussels, Belgium	1487604
Vatican City	Paris, France	1425490
Vatican City	Pamplona, Spain	1628962
Vatican City	Lagos, Portugal	2598274
Vatican City	Granada, Spain	2214799
Vatican City	Barcelona, Spain	1340622
Vatican City	Luberone, Bonnieux, France	903072
Vatican City	Nice, France	674707
Vatican City	Monte Carlo, Monaco	660746
Vatican City	Interlaken, Switzerland	838271
Pompeii, Italy	Innsbruck, Austria	973762
Pompeii, Italy	Munich, Germany	1132606
Pompeii, Italy	Pag, Croatia	1102072
Pompeii, Italy	Venice, Italy	740291
Pompeii, Italy	Tuscany, Italy	492859
Pompeii, Italy	Florence, Italy	491113
Pompeii, Italy	Rome, Italy	241594
Pompeii, Italy	Vatican City	253617
Pompeii, Italy	Gozo, Malta	850366
Pompeii, Italy	Dubrovnik, Croatia	480059
Pompeii, Italy	Santorini, Thira, Greece	1381703
Pompeii, Italy	Vienna, Austria	1331204
Pompeii, Italy	Prague, Czech Republic	1517779
Pompeii, Italy	Krakow, Poland	1780812
Pompeii, Italy	Berlin, Germany	1716743
Pompeii, Italy	Amsterdam, Netherlands	1859534
Pompeii, Italy	Keukenhof, Stationsweg, Lisse, Netherlands	1889946
Pompeii, Italy	Glasgow, United Kingdom	2759819
Pompeii, Italy	Edinburgh, United Kingdom	2715587
Pompeii, Italy	Inverness, United Kingdom	3013519
Pompeii, Italy	Stonehenge, Amesbury, United Kingdom	2211944
Pompeii, Italy	London, United Kingdom	2088489
Pompeii, Italy	Brussels, Belgium	1698378
Pompeii, Italy	Paris, France	1636264
Pompeii, Italy	Pamplona, Spain	1863401
Pompeii, Italy	Lagos, Portugal	2832712
Pompeii, Italy	Granada, Spain	2449237
Pompeii, Italy	Barcelona, Spain	1575060
Pompeii, Italy	Luberone, Bonnieux, France	1137511
Pompeii, Italy	Nice, France	909145
Pompeii, Italy	Monte Carlo, Monaco	895184
Pompeii, Italy	Interlaken, Switzerland	1049045
Gozo, Malta	Innsbruck, Austria	1814178
Gozo, Malta	Munich, Germany	1973021
Gozo, Malta	Pag, Croatia	1942488
Gozo, Malta	Venice, Italy	1580707
Gozo, Malta	Tuscany, Italy	1333275
Gozo, Malta	Florence, Italy	1331529
Gozo, Malta	Rome, Italy	1082009
Gozo, Malta	Vatican City	1094033
Gozo, Malta	Pompeii, Italy	849376
Gozo, Malta	Dubrovnik, Croatia	1040629
Gozo, Malta	Santorini, Thira, Greece	1862139
Gozo, Malta	Vienna, Austria	2171619
Gozo, Malta	Prague, Czech Republic	2358195
Gozo, Malta	Krakow, Poland	2621228
Gozo, Malta	Berlin, Germany	2557159
Gozo, Malta	Amsterdam, Netherlands	2699949
Gozo, Malta	Keukenhof, Stationsweg, Lisse, Netherlands	2730361
Gozo, Malta	Glasgow, United Kingdom	3600234
Gozo, Malta	Edinburgh, United Kingdom	3556003
Gozo, Malta	Inverness, United Kingdom	3853934
Gozo, Malta	Stonehenge, Amesbury, United Kingdom	3052360
Gozo, Malta	London, United Kingdom	2928904
Gozo, Malta	Brussels, Belgium	2538794
Gozo, Malta	Paris, France	2476680
Gozo, Malta	Pamplona, Spain	2703816
Gozo, Malta	Lagos, Portugal	3673128
Gozo, Malta	Granada, Spain	3289653
Gozo, Malta	Barcelona, Spain	2415476
Gozo, Malta	Luberone, Bonnieux, France	1977926
Gozo, Malta	Nice, France	1749561
Gozo, Malta	Monte Carlo, Monaco	1735600
Gozo, Malta	Interlaken, Switzerland	1889461
Dubrovnik, Croatia	Innsbruck, Austria	1105968
Dubrovnik, Croatia	Munich, Germany	1067564
Dubrovnik, Croatia	Pag, Croatia	380864
Dubrovnik, Croatia	Venice, Italy	833893
Dubrovnik, Croatia	Tuscany, Italy	1077556
Dubrovnik, Croatia	Florence, Italy	1078630
Dubrovnik, Croatia	Rome, Italy	661531
Dubrovnik, Croatia	Vatican City	673554
Dubrovnik, Croatia	Pompeii, Italy	474264
Dubrovnik, Croatia	Gozo, Malta	1034904
Dubrovnik, Croatia	Santorini, Thira, Greece	1298905
Dubrovnik, Croatia	Vienna, Austria	954235
Dubrovnik, Croatia	Prague, Czech Republic	1222428
Dubrovnik, Croatia	Krakow, Poland	1403844
Dubrovnik, Croatia	Berlin, Germany	1653379
Dubrovnik, Croatia	Amsterdam, Netherlands	1908541
Dubrovnik, Croatia	Keukenhof, Stationsweg, Lisse, Netherlands	1934265
